Episode,Score,Steps,Epsilon
1,0,74,0.9256391896192488
2,0,73,0.5542897831541701
3,0,118,0.2419625740994907
4,0,180,0.06833023671391246
5,5,532,0.009970272148420516
6,12,1027,0.009970272148420516
7,10,890,0.009970272148420516
8,6,622,0.009970272148420516
9,10,937,0.009970272148420516
10,0,179,0.009970272148420516
11,29,2158,0.009970272148420516
12,1,252,0.009970272148420516
13,2,332,0.009970272148420516
14,13,1128,0.009970272148420516
15,10,907,0.009970272148420516
16,21,1709,0.009970272148420516
17,4,484,0.009970272148420516
18,26,2060,0.009970272148420516
19,8,740,0.009970272148420516
20,183,13470,0.009970272148420516
21,12,1048,0.009970272148420516
22,15,1265,0.009970272148420516
23,145,10589,0.009970272148420516
24,9,731,0.009970272148420516
25,74,5343,0.009970272148420516
26,51,3881,0.009970272148420516
27,174,11758,0.009970272148420516
28,29,2248,0.009970272148420516
29,113,8242,0.009970272148420516
30,7,684,0.009970272148420516
31,3,413,0.009970272148420516
32,4,472,0.009970272148420516
33,217,15815,0.009970272148420516
34,10,910,0.009970272148420516
35,1,254,0.009970272148420516
36,75,5573,0.009970272148420516
37,106,7749,0.009970272148420516
38,51,3784,0.009970272148420516
39,21,1663,0.009970272148420516
40,3,394,0.009970272148420516
41,7,685,0.009970272148420516
42,2,325,0.009970272148420516
43,6,609,0.009970272148420516
44,0,193,0.009970272148420516
45,0,177,0.009970272148420516
46,0,177,0.009970272148420516
47,0,188,0.009970272148420516
48,2,321,0.009970272148420516
49,28,2193,0.009970272148420516
50,42,3217,0.009970272148420516
51,1,245,0.009970272148420516
52,2,333,0.009970272148420516
53,2,333,0.009970272148420516
54,10,883,0.009970272148420516
55,1,264,0.009970272148420516
56,2,321,0.009970272148420516
57,0,177,0.009970272148420516
58,2,318,0.009970272148420516
59,36,2779,0.009970272148420516
60,7,685,0.009970272148420516
61,2,323,0.009970272148420516
62,0,178,0.009970272148420516
63,1,223,0.009970272148420516
64,1,246,0.009970272148420516
65,1,211,0.009970272148420516
66,1,222,0.009970272148420516
67,3,394,0.009970272148420516
68,4,454,0.009970272148420516
69,21,1705,0.009970272148420516
70,25,1991,0.009970272148420516
71,2,335,0.009970272148420516
72,3,397,0.009970272148420516
73,1,246,0.009970272148420516
74,50,3799,0.009970272148420516
75,21,1706,0.009970272148420516
76,70,5245,0.009970272148420516
77,17,1417,0.009970272148420516
78,5,533,0.009970272148420516
79,5,538,0.009970272148420516
80,38,2936,0.009970272148420516
81,27,2154,0.009970272148420516
82,51,3873,0.009970272148420516
83,23,1821,0.009970272148420516
84,0,178,0.009970272148420516
85,1,248,0.009970272148420516
86,1,259,0.009970272148420516
87,4,483,0.009970272148420516
88,5,546,0.009970272148420516
89,9,810,0.009970272148420516
90,3,396,0.009970272148420516
91,0,189,0.009970272148420516
92,8,778,0.009970272148420516
93,9,847,0.009970272148420516
94,5,551,0.009970272148420516
95,19,1555,0.009970272148420516
96,25,1993,0.009970272148420516
97,29,2290,0.009970272148420516
98,2,323,0.009970272148420516
99,2,344,0.009970272148420516
100,0,194,0.009970272148420516
101,144,10636,0.009970272148420516
102,0,30,0.009970272148420516
103,5,554,0.009970272148420516
104,0,30,0.009970272148420516
105,0,103,0.009970272148420516
106,72,5398,0.009970272148420516
107,33,2563,0.009970272148420516
108,2,343,0.009970272148420516
109,1,265,0.009970272148420516
110,2,319,0.009970272148420516
111,3,409,0.009970272148420516
112,2,331,0.009970272148420516
113,1,259,0.009970272148420516
114,0,178,0.009970272148420516
115,1,251,0.009970272148420516
116,3,356,0.009970272148420516
117,6,616,0.009970272148420516
118,5,527,0.009970272148420516
119,0,184,0.009970272148420516
120,1,217,0.009970272148420516
121,3,405,0.009970272148420516
122,0,103,0.009970272148420516
123,2,319,0.009970272148420516
124,1,222,0.009970272148420516
125,8,759,0.009970272148420516
126,22,1764,0.009970272148420516
127,15,1260,0.009970272148420516
128,1,266,0.009970272148420516
129,1,264,0.009970272148420516
130,2,337,0.009970272148420516
131,1,268,0.009970272148420516
132,1,238,0.009970272148420516
133,33,2514,0.009970272148420516
134,7,679,0.009970272148420516
135,28,2193,0.009970272148420516
136,69,5163,0.009970272148420516
137,9,847,0.009970272148420516
138,14,1175,0.009970272148420516
139,43,3305,0.009970272148420516
140,13,1116,0.009970272148420516
141,2,331,0.009970272148420516
142,5,537,0.009970272148420516
143,38,2914,0.009970272148420516
144,48,3654,0.009970272148420516
145,10,919,0.009970272148420516
146,26,2064,0.009970272148420516
147,0,183,0.009970272148420516
148,5,544,0.009970272148420516
149,22,1756,0.009970272148420516
150,35,2708,0.009970272148420516
151,50,3794,0.009970272148420516
152,27,2151,0.009970272148420516
153,53,3981,0.009970272148420516
154,4,470,0.009970272148420516
155,51,3835,0.009970272148420516
156,42,3133,0.009970272148420516
157,16,1471,0.009970272148420516
158,299,25239,0.009970272148420516
159,0,181,0.009970272148420516
160,3,430,0.009970272148420516
161,6,692,0.009970272148420516
162,6,661,0.009970272148420516
163,2,347,0.009970272148420516
164,4,540,0.009970272148420516
165,6,695,0.009970272148420516
166,0,30,0.009970272148420516
167,0,71,0.009970272148420516
168,75,6077,0.009970272148420516
169,8,706,0.009970272148420516
170,1,238,0.009970272148420516
171,40,3529,0.009970272148420516
